# Interface data for t = 10.600000
# Method: dalziel
# Grid: 160×200
# ANALYSIS VALIDITY SUMMARY
# Overall Status: VALID
# Cells across mixing layer: 120.0
0.0312500,0.2707046 0.0297712,0.2697712
0.0300239,0.2700239 0.0304923,0.2687500
0.0299837,0.2737500 0.0301710,0.2723290
0.0301312,0.2726312 0.0306113,0.2718887
0.0302931,0.2727931 0.0308360,0.2712500
0.0299580,0.2749580 0.0299543,0.2750457
0.0299563,0.2749563 0.0299276,0.2762500
0.0299837,0.2737500 0.0299562,0.2750438
0.0312500,0.2775803 0.0288836,0.2763836
0.0310900,0.2785900 0.0299276,0.2762500
0.0305608,0.2819392 0.0287500,0.2814320
0.0312500,0.2822642 0.0294392,0.2819392
0.0303901,0.2821099 0.0290028,0.2815028
0.0287500,0.2931896 0.0306890,0.2931890
0.0293106,0.2931894 0.0306970,0.2931970
0.0293026,0.2931974 0.0312500,0.2931968
0.0300191,0.3174809 0.0287500,0.3176646
0.0312500,0.3172590 0.0299831,0.3174831
0.0300242,0.3174758 0.0299858,0.3174858
0.0305799,0.3194201 0.0287500,0.3193910
0.0312500,0.3194483 0.0294201,0.3194201
0.0305623,0.3194377 0.0294014,0.3194014
0.0333415,0.1662500 0.0345350,0.1629650
0.0337500,0.1686020 0.0338274,0.1688274
0.0328339,0.1678339 0.0333415,0.1662500
0.0336940,0.1688060 0.0312500,0.1688257
0.0337500,0.1687858 0.0313059,0.1688059
0.0337139,0.1687861 0.0313251,0.1688251
0.0312500,0.1837307 0.0342055,0.1842055
0.0312993,0.1837993 0.0318030,0.1856970
